Estacao,Date,Data2,Day,Hora,Precipitacao,total_precip,TempMaxima,TempMinima,min temp,Temp Comp Media,Umidade Relativa Media
83743,18/06/2002,,,1200,0,,,21.4,,,
83743,19/06/2002,,,0,,0,32.3,,,25.66,73
83743,19/06/2002,,,1200,0,,,23.2,,,
83743,20/06/2002,,,0,,0,29.3,,,24.42,79.75
83743,20/06/2002,,,1200,0,,,22.1,,,
83743,21/06/2002,,,0,,0,30.2,,,24.68,69.75
83743,21/06/2002,,,1200,0,,,21.5,,,
83743,22/06/2002,,,0,,0,28.2,,,24.06,75.25
83743,22/06/2002,,,1200,0,,,21.5,,,
83743,23/06/2002,,,0,,0,23.7,,,21.14,86.75
83743,23/06/2002,,,1200,50,,,20,,,
83743,24/06/2002,,,0,,50,26.6,,,22.2,77.75
83743,24/06/2002,,,1200,13,,,19,,,
83743,25/06/2002,,,0,,13,23,,,20.98,85.75
83743,25/06/2002,,,1200,0,,,20.3,,,
83743,26/06/2002,,,0,,0,21.7,,,20.8,86.75
83743,26/06/2002,,,1200,0.8,,,20.1,,,
83743,27/06/2002,,,0,,0.8,25.8,,,22.4,81
83743,27/06/2002,,,1200,0,,,20.1,,,
83743,28/06/2002,,,0,,0,28.5,,,23.74,74.5
83743,28/06/2002,,,1200,0,,,20.4,,,
83743,29/06/2002,,,0,,0,30.5,,,24.78,74.25
83743,29/06/2002,,,1200,0,,,21.2,,,
83743,30/06/2002,,,0,,0,32.1,,,24.66,66.5
83743,30/06/2002,,,1200,0,,,21,,,
83743,01/07/2002,,,0,,0,30.7,,,24.34,73.25
83743,01/07/2002,,,1200,0,,,20.6,,,
83743,02/07/2002,,,0,,0,27.4,,,23.5,78
83743,02/07/2002,,,1200,0,,,21.1,,,
83743,03/07/2002,,,0,,0,27.3,,,23.52,74.5
83743,03/07/2002,,,1200,0,,,21,,,
83743,04/07/2002,,,0,,0,25,,,22.3,84
83743,04/07/2002,,,1200,0,,,20.4,,,
83743,05/07/2002,,,0,,0,27.5,,,22.96,79
83743,05/07/2002,,,1200,0.3,,,20.2,,,
83743,06/07/2002,,,0,,0.3,29,,,23.36,71.25
83743,06/07/2002,,,1200,0,,,19.2,,,
83743,07/07/2002,,,0,,0,30.6,,,25,63.25
83743,07/07/2002,,,1200,0,,,20.2,,,
83743,08/07/2002,,,0,,0,26.1,,,22.52,63
83743,08/07/2002,,,1200,0,,,21.2,,,
83743,09/07/2002,,,0,,0,24.3,,,21.66,65.75
83743,09/07/2002,,,1200,0,,,18.9,,,
83743,10/07/2002,,,0,,0,26.6,,,23,72.5
